PLZ;Stadtteil
10115;Mitte
10117;Mitte
10119;Mitte
10119;Pankow
10178;Mitte
10179;Mitte
10243;Friedrichshain-Kreuzberg
10245;Friedrichshain-Kreuzberg
10247;Pankow
10247;Friedrichshain-Kreuzberg
10249;Pankow
10249;Friedrichshain-Kreuzberg
10315;Lichtenberg
10315;Lichtenberg
10317;Lichtenberg
10317;Lichtenberg
10317;Lichtenberg
10318;Lichtenberg
10319;Lichtenberg
10365;Lichtenberg
10367;Lichtenberg
10367;Lichtenberg
10369;Lichtenberg
10369;Lichtenberg
10405;Pankow
10407;Pankow
10409;Pankow
10435;Mitte
10435;Pankow
10437;Pankow
10439;Pankow
10439;Pankow
10551;Mitte
10553;Mitte
10555;Mitte
10555;Mitte
10557;Mitte
10557;Mitte
10557;Mitte
10559;Mitte
10585;Charlottenburg-Wilmersdorf
10587;Charlottenburg-Wilmersdorf
10589;Charlottenburg-Wilmersdorf
10589;Charlottenburg-Wilmersdorf
10623;Charlottenburg-Wilmersdorf
10625;Charlottenburg-Wilmersdorf
10627;Charlottenburg-Wilmersdorf
10629;Charlottenburg-Wilmersdorf
10707;Charlottenburg-Wilmersdorf
10707;Charlottenburg-Wilmersdorf
10709;Charlottenburg-Wilmersdorf
10709;Charlottenburg-Wilmersdorf
10709;Charlottenburg-Wilmersdorf
10711;Charlottenburg-Wilmersdorf
10711;Charlottenburg-Wilmersdorf
10711;Charlottenburg-Wilmersdorf
10713;Charlottenburg-Wilmersdorf
10713;Charlottenburg-Wilmersdorf
10715;Charlottenburg-Wilmersdorf
10717;Charlottenburg-Wilmersdorf
10719;Charlottenburg-Wilmersdorf
10719;Charlottenburg-Wilmersdorf
10777;Charlottenburg-Wilmersdorf
10777;Tempelhof-Schoeneberg
10779;Charlottenburg-Wilmersdorf
10779;Tempelhof-Schoeneberg
10781;Tempelhof-Schoeneberg
10783;Tempelhof-Schoeneberg
10785;Mitte
10785;Tempelhof-Schoeneberg
10785;Friedrichshain-Kreuzberg
10787;Mitte
10787;Charlottenburg-Wilmersdorf
10787;Tempelhof-Schoeneberg
10789;Charlottenburg-Wilmersdorf
10789;Charlottenburg-Wilmersdorf
10789;Tempelhof-Schoeneberg
10823;Tempelhof-Schoeneberg
10825;Charlottenburg-Wilmersdorf
10825;Tempelhof-Schoeneberg
10827;Tempelhof-Schoeneberg
10827;Tempelhof-Schoeneberg
10829;Tempelhof-Schoeneberg
10961;Friedrichshain-Kreuzberg
10963;Mitte
10963;Friedrichshain-Kreuzberg
10965;Tempelhof-Schoeneberg
10965;Friedrichshain-Kreuzberg
10965;Neukoelln
10965;Tempelhof-Schoeneberg
10967;Friedrichshain-Kreuzberg
10967;Neukoelln
10969;Friedrichshain-Kreuzberg
10997;Friedrichshain-Kreuzberg
10999;Friedrichshain-Kreuzberg
12043;Neukoelln
12045;Neukoelln
12047;Neukoelln
12049;Neukoelln
12051;Neukoelln
12053;Neukoelln
12055;Neukoelln
12057;Neukoelln
12059;Neukoelln
12099;Neukoelln
12099;Tempelhof-Schoeneberg
12099;Tempelhof-Schoeneberg
12099;Neukoelln
12101;Tempelhof-Schoeneberg
12101;Tempelhof-Schoeneberg
12103;Tempelhof-Schoeneberg
12103;Tempelhof-Schoeneberg
12103;Tempelhof-Schoeneberg
12105;Tempelhof-Schoeneberg
12105;Tempelhof-Schoeneberg
12105;Tempelhof-Schoeneberg
12107;Tempelhof-Schoeneberg
12107;Tempelhof-Schoeneberg
12107;Tempelhof-Schoeneberg
12107;Neukoelln
12109;Tempelhof-Schoeneberg
12109;Tempelhof-Schoeneberg
12157;Tempelhof-Schoeneberg
12157;Steglitz-Zehlendorf
12159;Tempelhof-Schoeneberg
12159;Tempelhof-Schoeneberg
12161;Tempelhof-Schoeneberg
12161;Steglitz-Zehlendorf
12163;Tempelhof-Schoeneberg
12163;Steglitz-Zehlendorf
12165;Steglitz-Zehlendorf
12167;Steglitz-Zehlendorf
12169;Steglitz-Zehlendorf
12203;Steglitz-Zehlendorf
12205;Steglitz-Zehlendorf
12207;Steglitz-Zehlendorf
12209;Steglitz-Zehlendorf
12247;Steglitz-Zehlendorf
12247;Steglitz-Zehlendorf
12249;Tempelhof-Schoeneberg
12249;Steglitz-Zehlendorf
12277;Tempelhof-Schoeneberg
12277;Tempelhof-Schoeneberg
12279;Tempelhof-Schoeneberg
12279;Tempelhof-Schoeneberg
12305;Tempelhof-Schoeneberg
12305;Neukoelln
12307;Tempelhof-Schoeneberg
12307;Tempelhof-Schoeneberg
12309;Tempelhof-Schoeneberg
12347;Neukoelln
12349;Neukoelln
12349;Neukoelln
12351;Neukoelln
12351;Neukoelln
12351;Neukoelln
12351;Neukoelln
12353;Neukoelln
12353;Neukoelln
12353;Neukoelln
12355;Neukoelln
12357;Neukoelln
12357;Neukoelln
12357;Neukoelln
12359;Neukoelln
12359;Neukoelln
12359;Neukoelln
12435;Treptow-Koepenick
12435;Treptow-Koepenick
12437;Treptow-Koepenick
12437;Treptow-Koepenick
12437;Treptow-Koepenick
12437;Treptow-Koepenick
12439;Treptow-Koepenick
12459;Treptow-Koepenick
12459;Treptow-Koepenick
12487;Treptow-Koepenick
12487;Treptow-Koepenick
12487;Treptow-Koepenick
12489;Treptow-Koepenick
12489;Treptow-Koepenick
12524;Treptow-Koepenick
12526;Treptow-Koepenick
12527;Treptow-Koepenick
12527;Treptow-Koepenick
12555;Treptow-Koepenick
12557;Treptow-Koepenick
12559;Treptow-Koepenick
12559;Treptow-Koepenick
12587;Treptow-Koepenick
12587;Treptow-Koepenick
12589;Treptow-Koepenick
12619;Marzahn-Hellersdorf
12619;Marzahn-Hellersdorf
12621;Marzahn-Hellersdorf
12621;Marzahn-Hellersdorf
12623;Marzahn-Hellersdorf
12623;Marzahn-Hellersdorf
12627;Marzahn-Hellersdorf
12629;Marzahn-Hellersdorf
12679;Marzahn-Hellersdorf
12681;Marzahn-Hellersdorf
12683;Marzahn-Hellersdorf
12685;Marzahn-Hellersdorf
12687;Marzahn-Hellersdorf
12689;Marzahn-Hellersdorf
13051;Lichtenberg
13051;Lichtenberg
13051;Lichtenberg
13051;Lichtenberg
13051;Pankow
13051;Pankow
13053;Lichtenberg
13053;Lichtenberg
13055;Lichtenberg
13057;Lichtenberg
13057;Lichtenberg
13059;Lichtenberg
13059;Lichtenberg
13086;Pankow
13088;Pankow
13088;Pankow
13088;Pankow
13089;Pankow
13125;Pankow
13125;Pankow
13127;Pankow
13127;Pankow
13129;Pankow
13129;Pankow
13129;Pankow
13129;Pankow
13156;Pankow
13156;Pankow
13156;Pankow
13158;Pankow
13158;Pankow
13158;Pankow
13159;Pankow
13187;Pankow
13189;Pankow
13347;Mitte
13347;Mitte
13349;Mitte
13351;Mitte
13353;Charlottenburg-Wilmersdorf
13353;Mitte
13353;Mitte
13355;Mitte
13357;Mitte
13357;Mitte
13359;Mitte
13359;Mitte
13403;Reinickendorf
13403;Reinickendorf
13403;Reinickendorf
13405;Mitte
13405;Reinickendorf
13405;Reinickendorf
13407;Mitte
13407;Reinickendorf
13407;Reinickendorf
13409;Mitte
13409;Mitte
13409;Reinickendorf
13435;Reinickendorf
13435;Reinickendorf
13437;Reinickendorf
13437;Reinickendorf
13439;Reinickendorf
13439;Reinickendorf
13465;Reinickendorf
13465;Reinickendorf
13467;Reinickendorf
13469;Reinickendorf
13469;Reinickendorf
13469;Reinickendorf
13503;Reinickendorf
13503;Reinickendorf
13505;Reinickendorf
13505;Reinickendorf
13505;Reinickendorf
13507;Reinickendorf
13509;Reinickendorf
13509;Reinickendorf
13509;Reinickendorf
13509;Reinickendorf
13581;Spandau
13581;Spandau
13581;Spandau
13583;Spandau
13583;Spandau
13585;Spandau
13585;Spandau
13585;Spandau
13587;Spandau
13587;Spandau
13589;Spandau
13589;Spandau
13591;Spandau
13591;Spandau
13593;Spandau
13593;Spandau
13595;Spandau
13597;Spandau
13597;Spandau
13599;Reinickendorf
13599;Spandau
13599;Spandau
13627;Charlottenburg-Wilmersdorf
13627;Spandau
13629;Charlottenburg-Wilmersdorf
13629;Reinickendorf
13629;Spandau
14050;Charlottenburg-Wilmersdorf
14050;Charlottenburg-Wilmersdorf
14052;Spandau
14052;Charlottenburg-Wilmersdorf
14053;Charlottenburg-Wilmersdorf
14055;Charlottenburg-Wilmersdorf
14055;Charlottenburg-Wilmersdorf
14055;Charlottenburg-Wilmersdorf
14057;Charlottenburg-Wilmersdorf
14057;Charlottenburg-Wilmersdorf
14059;Charlottenburg-Wilmersdorf
14059;Charlottenburg-Wilmersdorf
14089;Spandau
14089;Spandau
14109;Steglitz-Zehlendorf
14109;Steglitz-Zehlendorf
14129;Steglitz-Zehlendorf
14129;Steglitz-Zehlendorf
14163;Steglitz-Zehlendorf
14163;Steglitz-Zehlendorf
14165;Steglitz-Zehlendorf
14167;Steglitz-Zehlendorf
14167;Steglitz-Zehlendorf
14169;Steglitz-Zehlendorf
14169;Steglitz-Zehlendorf
14169;Steglitz-Zehlendorf
14193;Charlottenburg-Wilmersdorf
14193;Steglitz-Zehlendorf
14193;Steglitz-Zehlendorf
14193;Charlottenburg-Wilmersdorf
14195;Charlottenburg-Wilmersdorf
14195;Charlottenburg-Wilmersdorf
14195;Steglitz-Zehlendorf
14195;Steglitz-Zehlendorf
14195;Steglitz-Zehlendorf
14195;Charlottenburg-Wilmersdorf
14197;Charlottenburg-Wilmersdorf
14197;Tempelhof-Schoeneberg
14199;Charlottenburg-Wilmersdorf
14199;Charlottenburg-Wilmersdorf
14199;Charlottenburg-Wilmersdorf
